step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,2.243548475264106,0,0.0,1.0,0,0.0,1.0,0,0.0,0.2710310350862868,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0671631646911117,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,4.6200245506479405,0,0.0,1.0,0,0.0,0.3050764837238488,0,0.0,0.3173433334449631,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4432103160199451,0,0.0,1.0,0,0.0
15.0,2,2.0,0.2857142857142857,3.9934053500491027,0,0.0,1.0,0,0.0,0.2685986902496494,1,2.0,0.2578879433140687,0,0.0,0.6458003686085552,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0
20.0,5,13.0,1.4444444444444444,3.6965222286834236,0,0.0,1.0,1,4.0,4.3693453162603616e-05,2,8.0,0.0019491759745689223,1,1.0,0.004623430125151489,0,0.0,1.0,0,0.0,0.14142085137700605,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7715199598280824,1,0.0,0.0,0,0.0,1.0,5,13.0
25.0,5,33.0,3.0,4.011732245551011,0,0.0,1.0,1,9.0,0.384629371364803,2,18.0,0.1776142184534587,1,6.0,0.47426556734030695,0,0.0,1.0,0,0.0,0.511701100020898,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.34629624974930906,0,0.0,1.0,4,33.0
30.0,6,55.0,4.230769230769231,3.9957956549007867,0,0.0,0.5974968096588469,2,14.0,0.0,2,28.0,0.0,2,13.0,0.0019383447056625033,0,0.0,0.6465579880385708,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.48167421769842533,0,0.0,1.0,6,55.0
35.0,7,82.0,5.857142857142857,4.6904827548880705,0,0.0,1.0,1,19.0,0.18145687777561637,2,38.0,0.0,2,23.0,0.0,0,0.0,0.6988168519620457,0,0.0,0.9528736682839096,0,0.0,1.0,0,0.0,0.9716116392094066,1,0.0,0.0,1,2.0,0.1549796153472458,0,0.0,1.0,7,82.0
40.0,8,114.0,7.6,4.273642468058825,0,0.0,1.0,1,24.0,0.0,2,48.0,0.0,2,33.0,0.0,0,0.0,1.0,1,2.0,0.0023058175668720484,1,0.0,0.0,0,0.0,1.0,0,0.0,0.5142159006851523,1,7.0,0.4128009984570073,0,0.0,1.0,8,114.0
45.0,10,154.0,10.266666666666667,2.3776597266272272,0,0.0,1.0,1,29.0,0.3922779530358097,3,58.0,0.0,2,43.0,0.0,0,0.0,1.0,1,5.0,0.0,0,0.0,0.39933950692278425,0,0.0,1.0,1,2.0,0.2583929737121414,2,15.0,0.0005005060040629821,0,0.0,1.0,10,152.0
50.0,3,8.0,0.47058823529411764,4.735679641659059,0,0.0,0.3293922818076432,0,0.0,0.29875124623258,0,27.0,0.5418767283636369,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,1,1.0,0.5063804041431141,0,0.0,1.0,1,7.0,0.2531963668327981,0,0.0,0.1684045220370563,0,0.0,1.0,3,35.0
