step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,2.063338545965962,0,0.0,1.0,0,0.0,1.0,0,0.0,0.24916668472338963,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.06395338674535378,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,4.395173349074321,0,0.0,1.0,0,0.0,0.33908558026264013,0,0.0,0.34524796843893274,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.345475966297295,0,0.0,1.0,0,0.0
15.0,2,2.0,0.2857142857142857,4.641480394520398,0,0.0,1.0,0,0.0,0.6249446475645883,1,2.0,0.23297263180409042,0,0.0,0.6150474055244678,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0
20.0,1,0.0,0.0,5.260258866116151,0,0.0,1.0,0,0.0,1.0,0,0.0,0.24920296100052758,0,0.0,1.0,0,0.0,1.0,0,0.0,0.14868312476651652,0,0.0,0.5514180772012837,0,0.0,1.0,0,0.0,0.7445514512691077,1,0.0,0.0,0,0.0,1.0,1,0.0
25.0,3,4.0,0.36363636363636365,4.28031989859227,0,0.0,0.2662058023864508,0,0.0,0.5422506178929277,1,3.0,0.24836151748051763,0,0.0,1.0,0,0.0,1.0,0,2.0,0.48306264020368295,0,0.0,0.4742199260613546,0,0.0,1.0,1,1.0,0.005643352200468804,0,0.0,0.28537783333165295,0,0.0,1.0,2,6.0
30.0,3,9.0,0.6923076923076923,5.356123687984872,0,0.0,0.5564441757863808,1,0.0,0.3848762002415413,0,0.0,1.0,0,0.0,1.0,0,0.0,0.32118058903222196,0,2.0,0.638162627043222,1,3.0,4.4415535971549194e-05,0,0.0,1.0,1,6.0,0.0,0,0.0,0.44028689189818343,0,0.0,1.0,3,11.0
35.0,4,17.0,1.2142857142857142,5.432841009219609,0,0.0,1.0,1,2.0,0.1766579505037065,0,0.0,1.0,0,4.0,0.44815175976446375,0,0.0,0.6685902058996259,0,0.0,0.6269449295424169,0,0.0,1.0,0,0.0,1.0,2,11.0,0.0,1,4.0,0.14090860422021426,0,0.0,1.0,4,21.0
40.0,4,18.0,1.2,6.124312942273677,0,0.0,1.0,1,7.0,0.35840099351815435,0,0.0,1.0,1,6.0,0.44337642099520536,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,0.7613974802006583,0,0.0,0.471966704443997,1,11.0,0.36553218537772997,0,0.0,1.0,4,24.0
45.0,5,32.0,2.1333333333333333,5.347172089798182,0,0.0,1.0,1,12.0,0.4856840123468502,1,0.0,0.4005538899353514,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.3859791563614893,1,2.0,0.20361220742981548,0,0.0,0.646785188782566,2,20.0,0.16241807543847256,0,0.0,1.0,5,36.0
