step,system_mean_waiting_time,system_mean_speed,system_total_stopped,system_total_running,system_total_arrived,system_total_departed,system_total_waiting_time,episode,step_in_episode,total_reward
0,0.0,2.221226339461282,0,0,0,0,0.0,1,0,0.3630300625670373
0,0.0,4.359771409735549,0,0,0,0,0.0,1,1,1.9774006797019923
0,0.2857142857142857,4.237753793567724,2,0,0,0,2.0,1,2,1.816516256704346
0,1.1111111111111112,4.467520917387806,4,0,0,0,10.0,1,3,1.0829396061918295
0,0.0,5.265627782741446,1,0,0,0,0.0,1,4,1.4062167413715165
0,0.07692307692307693,4.92648819705475,2,0,0,0,1.0,1,5,1.3617092310977048
0,0.7142857142857143,6.338789838894251,3,0,0,0,10.0,1,6,0.8748090507540152
0,0.8571428571428571,7.254825809083146,3,0,0,0,12.0,1,7,1.2576723081005663
0,0.0,6.962539483336619,1,0,0,0,0.0,1,8,1.5129798797809415
0,0.21428571428571427,4.9922139202375035,2,0,0,0,3.0,1,9,1.0007028994935576
0,0.6153846153846154,5.95884348400456,1,0,0,0,8.0,1,10,0.8838061430424876
0,0.8666666666666667,5.998778901440338,2,0,0,0,13.0,1,11,1.2522208439414577
0,0.5,5.501940324519502,4,0,0,0,8.0,1,12,0.8094745393776694
0,1.7058823529411764,5.53324997074657,5,0,0,0,29.0,1,13,0.401529918276565
0,0.5294117647058824,4.937486403612124,2,0,0,0,9.0,1,14,1.4436115801763358
0,0.8888888888888888,5.473073544966945,3,0,0,0,16.0,1,15,0.897152697177701
0,1.7647058823529411,4.9412503622291,3,0,0,0,30.0,1,16,1.156610423238036
0,3.176470588235294,4.057263956808974,5,0,0,0,54.0,1,17,0.7410971052478675
0,1.3157894736842106,5.543691509815382,3,0,0,0,25.0,1,18,1.4830420803208992
0,2.0,6.242434524725579,4,0,0,0,34.0,1,19,1.217821976492807
0,2.0588235294117645,7.263183561803373,2,0,0,0,35.0,1,20,1.0387140563435642
0,2.5,5.0549250546334346,6,0,0,0,50.0,1,21,0.7175227403179112
0,4.2631578947368425,3.149922119875847,8,0,0,0,81.0,1,22,0.08041296942568293
0,5.75,3.0598297407642026,9,0,0,0,115.0,1,23,0.3906716183244624
0,5.636363636363637,2.989467154358475,6,0,0,0,124.0,1,24,0.5438414638354323
