step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,2.130424694973044,0,0.0,1.0,0,0.0,1.0,0,0.0,0.2083663642941091,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.07692610624003696,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,4.475275253434665,0,0.0,1.0,0,0.0,0.25497980061711095,0,0.0,0.2813485199839645,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4141366284214619,0,0.0,1.0,0,0.0
15.0,2,3.0,0.42857142857142855,4.34831768757388,0,0.0,1.0,0,0.0,0.3038609626072924,1,3.0,0.24587974623854716,0,0.0,0.7054629923220619,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0
20.0,4,13.0,1.4444444444444444,4.925442271594193,0,0.0,1.0,1,4.0,4.173047045762258e-05,2,9.0,8.436285259519132e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,0.17770539455218246,0,0.0,0.573308296467944,0,0.0,1.0,0,0.0,0.8065753908480041,1,0.0,0.0,0,0.0,1.0,4,13.0
25.0,2,9.0,0.8181818181818182,4.77191195488447,0,0.0,1.0,1,9.0,0.3878079753777167,0,4.0,0.3661640255162167,0,0.0,0.7427530621870286,0,0.0,1.0,0,0.0,0.5367631356072694,0,0.0,0.3326756336959348,0,0.0,1.0,0,0.0,1.0,0,0.0,0.27422593641736864,0,0.0,1.0,1,13.0
30.0,2,2.0,0.15384615384615385,4.823459575974076,0,0.0,0.4889462954726814,1,0.0,0.16925777341951542,0,0.0,0.015781871035398402,0,0.0,0.7177944165014826,0,0.0,1.0,1,4.0,0.20292679363890215,0,0.0,0.8451578478673424,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5019465095731938,0,0.0,1.0,2,4.0
35.0,3,6.0,0.42857142857142855,6.058119079725119,0,0.0,1.0,1,3.0,0.32002973520082717,0,0.0,0.6640210394485055,0,0.0,1.0,0,2.0,0.22574294792670707,0,2.0,0.4780770442106829,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,1,3.0,0.4154511728592438,0,0.0,1.0,3,10.0
40.0,4,13.0,0.9285714285714286,5.172056888144496,0,2.0,0.25416805625523275,1,1.0,0.3009344293811905,0,0.0,1.0,0,0.0,1.0,0,2.0,0.584800688981794,1,8.0,0.38690678363758146,1,0.0,0.0,0,0.0,1.0,0,0.0,0.4457967425946726,1,8.0,0.41346830606831153,0,0.0,1.0,4,21.0
45.0,7,36.0,2.5714285714285716,4.254380000885805,0,2.0,0.6102277227002708,1,6.0,0.44939665561460096,1,0.0,0.0,0,0.0,1.0,0,2.0,0.9455782846377572,2,15.0,0.0014651450375323966,0,0.0,0.31784124775019534,0,0.0,1.0,1,2.0,0.1876460852167242,2,17.0,2.962739155700248e-05,0,0.0,1.0,7,44.0
50.0,5,45.0,3.0,4.2616648603501535,0,0.0,0.33962977949252326,1,11.0,0.0,0,0.0,0.738516709181822,0,0.0,1.0,0,0.0,0.9558924476955913,1,0.0,0.0,0,0.0,0.18154515003383986,0,0.0,0.9890673335241716,1,7.0,0.07665692113769737,2,27.0,0.06586567051259189,0,0.0,1.0,5,45.0
55.0,1,16.0,1.0666666666666667,6.066872856460262,0,0.0,0.7243849058598333,1,16.0,0.0,0,0.0,1.0,0,1.0,0.23996145054120616,0,0.0,1.0,0,0.0,0.34098609154507425,0,0.0,0.11071496104829766,0,2.0,0.4426938103430033,0,4.0,0.6016670718129852,0,0.0,0.49091096116216787,0,0.0,1.0,1,23.0
60.0,4,24.0,1.5,5.327109496166312,0,0.0,0.49112900183737235,1,21.0,0.0,1,0.0,0.0,0,1.0,0.4479205303253184,0,0.0,1.0,0,1.0,0.49828488608719573,0,0.0,0.3095497686048011,0,2.0,0.38709571025580125,1,4.0,0.0009174300779296845,1,1.0,0.13894448414060104,0,0.0,1.0,4,30.0
