step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,1.993485908024013,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1988335261930405,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.05831301252337483,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,4.181513103214092,0,0.0,1.0,0,0.0,0.25514885377120644,0,0.0,0.25526599557563934,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.34548739663872213,0,0.0,1.0,0,0.0
15.0,2,2.0,0.2857142857142857,4.473970643334772,0,0.0,1.0,0,0.0,0.35037747527822716,1,2.0,0.25410197524009015,0,0.0,0.5322879447917224,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0
20.0,3,10.0,1.1111111111111112,5.149710603533636,0,0.0,1.0,1,3.0,0.0002252372362273811,1,7.0,0.005244504692375068,0,0.0,1.0,0,0.0,1.0,0,0.0,0.15068653823665362,0,0.0,0.6748458570861662,0,0.0,1.0,0,0.0,0.7549257191874621,1,0.0,0.0,0,0.0,1.0,3,10.0
25.0,3,17.0,1.5454545454545454,4.323860180066184,0,0.0,1.0,0,0.0,0.5864880809960678,2,17.0,0.14809822764252165,0,0.0,0.9270420696203802,0,0.0,1.0,0,0.0,0.5005533838435743,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.25533757045267597,0,0.0,1.0,2,17.0
30.0,2,2.0,0.15384615384615385,4.574364122700903,0,0.0,0.4360256892098776,1,0.0,0.2170673184413365,0,8.0,0.08598945408406944,1,2.0,0.3495735349149878,0,0.0,0.22899067981149573,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.504241418358564,0,0.0,1.0,2,10.0
35.0,5,18.0,1.2857142857142858,4.6767162461876595,0,2.0,0.24876124817317025,1,3.0,0.2216124979649808,1,4.0,0.34495858213905584,1,7.0,0.0,0,0.0,0.5788575254184164,0,2.0,0.4003698890707418,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,1,4.0,0.15324336350543302,0,0.0,1.0,5,22.0
40.0,1,9.0,0.6428571428571429,6.286924963552882,0,2.0,0.5131385174755977,0,0.0,0.5731681141959155,0,0.0,0.13736555246875237,0,0.0,1.0,0,0.0,1.0,0,2.0,0.5243894458830854,0,2.0,0.4667347317185979,0,0.0,1.0,0,0.0,0.5052951838901873,1,9.0,0.3618528054200792,0,0.0,1.0,1,15.0
45.0,4,20.0,1.4285714285714286,5.2482804618685766,0,0.0,1.0,1,3.0,0.48510573136577007,1,0.0,0.0,0,0.0,1.0,0,2.0,0.7727314935995436,0,2.0,0.9373302233002958,0,2.0,0.3811474625004739,0,0.0,0.19061592772288977,0,0.0,0.5054787300315206,2,17.0,0.0003375127379530926,0,0.0,1.0,4,26.0
50.0,5,36.0,2.25,5.239788296100032,0,0.0,0.254727051091066,1,8.0,0.0,0,0.0,0.7408325554207178,0,0.0,1.0,0,0.0,0.977807973508687,1,0.0,0.2199090295965513,1,3.0,0.20636641497155042,0,0.0,0.8802682305013038,0,0.0,0.603720500364526,2,27.0,0.03854275810589578,0,0.0,1.0,5,38.0
55.0,2,9.0,0.6,4.741119453807127,0,0.0,0.5390342617187,0,0.0,1.0,0,2.0,0.19350484414878677,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5920087878815816,1,8.0,0.03405579269969181,0,0.0,0.61493588761793,1,3.0,0.28620884866824303,0,0.0,0.36438341862256457,0,0.0,1.0,2,13.0
60.0,5,27.0,1.5,5.034892160219964,0,0.0,0.7264568107162477,0,0.0,1.0,1,2.0,0.20679851149051076,0,0.0,0.3724988832669149,0,0.0,1.0,1,3.0,0.00045237958853567455,2,18.0,0.12410663157871589,0,0.0,1.0,1,5.0,7.002332609285278e-06,0,0.0,0.11592567971478092,0,0.0,1.0,5,28.0
65.0,5,28.0,1.4736842105263157,5.5271126529664345,1,2.0,0.0002702478336041124,0,0.0,0.10733988151974728,0,0.0,0.29968000679272644,0,2.0,0.4142874275031482,1,0.0,0.48392372873068074,1,8.0,0.0,0,0.0,0.13241174507079256,0,0.0,1.0,1,10.0,0.0,1,5.0,0.21908319306165694,0,2.0,0.8131813110662982,5,29.0
70.0,2,7.0,0.3684210526315789,5.162054684301827,1,7.0,0.0,0,0.0,0.48360239553594825,0,0.0,0.5694810702006393,0,2.0,0.4778479826578511,1,0.0,0.33282314571329175,0,0.0,0.1353171186054866,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.700564108850843,0,0.0,1.0,2,11.0
75.0,1,0.0,0.0,6.806487609770016,0,0.0,0.10368249025620449,0,0.0,0.7214355354190854,0,2.0,0.46817264802761144,0,0.0,0.2386818200072081,0,0.0,0.6572929092445207,0,0.0,0.5540660423566331,0,0.0,1.0,0,0.0,0.7908097240629953,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9877729432462047,0,4.0
80.0,4,7.0,0.3888888888888889,4.8466889420196,0,0.0,0.3883232379268568,1,1.0,0.001828335091273392,0,2.0,0.6503629211943173,1,5.0,0.14190438812539763,2,1.0,0.08779391183068765,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,9.0
85.0,1,6.0,0.3157894736842105,4.952008853166539,0,0.0,0.3008778882321345,0,0.0,0.13389433212512908,0,0.0,0.8868902426943348,0,2.0,0.3681881426295043,1,9.0,0.2843087801877915,0,0.0,0.24833277552704422,0,0.0,1.0,0,0.0,1.0,0,5.0,0.49200251087159685,0,0.0,0.9342167673242829,0,0.0,0.47901160267623943,1,16.0
90.0,3,16.0,0.8421052631578947,4.998534402399588,2,5.0,0.12554748865374082,0,0.0,0.4908511968314008,0,0.0,1.0,0,0.0,0.3101881240137276,1,14.0,0.19583395445399213,0,0.0,0.543010841402716,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.24334433836201508,0,0.0,0.008802802484643504,3,19.0
