episode,total_reward,mean_waiting_time,mean_speed,total_stopped_avg,total_arrived,total_departed
1,58.35201766242521,1.7152614660648124,4.8338994104161195,5.527777777777778,0,0
2,56.196363439983394,1.540887621349058,4.6228931354217195,6.138888888888889,0,0
3,52.280130385067444,1.8647738983391318,4.329114169779899,6.708333333333333,0,0
4,48.95676006300266,1.8977569812721622,4.419764299496042,7.069444444444445,0,0
5,52.147651068743585,2.271434882382635,4.419143423451514,6.986111111111111,0,0
6,55.62848733183068,1.5238674328150124,4.720572776390692,6.25,0,0
7,55.025455831019904,1.5355576567679556,4.553384750468741,6.277777777777778,0,0
8,58.096580137992966,1.4251960260101946,4.840725382871102,5.875,0,0
9,50.035524652745934,2.085118908024471,4.50478926100571,7.361111111111111,0,0
10,51.521586228137025,1.6433323565487192,4.585504604176574,6.388888888888889,0,0
