step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,1.6317831567139365,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1769939057394981,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.04329429127258335,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,3.7342901209776755,0,0.0,1.0,0,0.0,0.19235915715115548,0,0.0,0.28838409630652584,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.23206289215841702,0,0.0,1.0,0,0.0
15.0,1,0.0,0.0,5.621016650079882,0,0.0,1.0,0,0.0,0.47886400112075644,0,0.0,0.3506263851552819,0,0.0,0.5218270337781917,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4574671131326785,0,0.0,1.0,0,0.0
20.0,2,3.0,0.3333333333333333,4.829268471995969,0,0.0,1.0,1,3.0,0.21917811667093628,0,0.0,0.5328955365594197,0,0.0,0.04747258496288675,0,0.0,1.0,0,0.0,0.41782756016482314,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5867579350544303,1,0.0,0.0,0,0.0,1.0,2,3.0
25.0,2,4.0,0.36363636363636365,4.373431278620941,0,0.0,1.0,0,0.0,0.6234787734498164,0,0.0,0.42706200117097515,1,4.0,0.0,0,0.0,1.0,0,0.0,0.43509176516716197,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.22242041881287816,0,0.0,1.0,1,4.0
30.0,1,0.0,0.0,5.490912274119446,0,0.0,0.3889128758009289,1,0.0,0.2527295750003623,0,0.0,0.2987974614499268,0,0.0,0.9470195236084393,0,0.0,1.0,0,0.0,0.008092909061007968,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5740934728467046,0,0.0,0.4413986349928377,0,0.0,1.0,1,0.0
35.0,2,5.0,0.38461538461538464,6.1923729157456835,0,0.0,1.0,0,0.0,0.2200427260661909,0,0.0,0.5558092782291404,0,0.0,1.0,0,0.0,1.0,1,5.0,0.43409198897099366,0,2.0,0.7017470235638135,0,0.0,1.0,1,0.0,0.0,0,0.0,0.2277590076136726,0,0.0,1.0,2,7.0
40.0,2,1.0,0.07142857142857142,5.881633693451611,0,2.0,0.4668761466009786,0,0.0,0.48563944403041365,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9666739728823007,0,0.0,0.029288778500080437,2,3.0,0.01643377723319584,0,0.0,1.0,0,0.0,0.3808243868977482,0,0.0,0.6824869221040635,0,0.0,1.0,2,5.0
45.0,4,15.0,1.1538461538461537,5.250376956480466,0,0.0,1.0,0,0.0,0.7785552429646894,1,0.0,0.0,0,0.0,1.0,0,2.0,0.4754652763657289,1,4.0,1.085815110316904e-05,2,13.0,0.1115269785933623,0,0.0,0.5789960174371245,0,0.0,0.33947268000632985,0,0.0,1.0,0,0.0,1.0,4,19.0
