step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,1.8464145617326722,0,0.0,1.0,0,0.0,1.0,0,0.0,0.18614754654905796,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.043583291383274485,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,4.036794536438538,0,0.0,1.0,0,0.0,0.2428744290623871,0,0.0,0.2508855077782326,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.2901572301249881,0,0.0,1.0,0,0.0
15.0,2,2.0,0.2857142857142857,4.4206979496307275,0,0.0,1.0,0,0.0,0.42394928037118784,1,2.0,0.20121971335418173,0,0.0,0.553607105479799,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5110497664270767,0,0.0,1.0,1,2.0
20.0,4,11.0,1.2222222222222223,4.785043804584916,0,0.0,1.0,1,3.0,0.00019034181300713428,2,8.0,0.002622161060565097,0,0.0,1.0,0,0.0,1.0,0,0.0,0.11169277631616757,0,0.0,0.5405063128694467,0,0.0,1.0,0,0.0,0.7490637489562009,1,0.0,0.0,0,0.0,1.0,4,11.0
25.0,5,28.0,2.5454545454545454,3.907055348892102,0,0.0,1.0,1,8.0,0.37377281609808155,2,18.0,0.13016469953870913,0,0.0,0.7771550687065286,0,0.0,1.0,0,0.0,0.41143165162813256,0,0.0,0.3582775890993677,0,0.0,1.0,1,2.0,0.0014247270620130978,0,0.0,0.2657193874286825,0,0.0,1.0,4,28.0
30.0,5,23.0,1.7692307692307692,3.7028474421656647,0,0.0,0.47930507254723925,2,13.0,0.0,0,9.0,0.1285836154438417,1,2.0,0.3197178603603468,0,0.0,0.9680470958723266,1,1.0,0.0017030782843838292,0,0.0,1.0,0,0.0,1.0,1,7.0,0.0,0,0.0,0.5356775505278466,0,0.0,1.0,5,32.0
35.0,5,32.0,2.1333333333333333,3.7296787198138177,0,0.0,0.3201617795288745,1,18.0,0.1374333456613451,1,4.0,8.538514518783916e-05,1,7.0,0.0,0,2.0,0.20553125179429818,0,2.0,0.3478416091499941,0,0.0,1.0,0,0.0,0.9680470958723266,1,0.0,0.0,1,3.0,0.15215329901178518,0,0.0,1.0,5,36.0
40.0,4,43.0,2.6875,5.962122523376072,1,3.0,2.581128434701483e-05,1,23.0,0.3667541078845475,1,9.0,0.2775420692892068,0,0.0,1.0,0,2.0,0.5052701271062632,0,2.0,0.5782160260443999,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4116152285177112,1,10.0,0.39211594688195833,0,0.0,1.0,4,49.0
45.0,8,56.0,3.7333333333333334,2.43437457320011,1,8.0,0.0,2,29.0,0.0022983905722363035,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,1,4.0,0.00029579881180582027,0,2.0,0.4322905523073687,0,0.0,1.0,1,1.0,0.2073816018993109,2,18.0,0.003568154229845513,0,0.0,1.0,8,62.0
50.0,7,45.0,2.6470588235294117,3.4791243473287965,0,0.0,0.2558261753125516,0,0.0,1.0,0,2.0,0.49621555098881465,0,0.0,1.0,0,0.0,1.0,2,11.0,0.2678269485263482,0,0.0,0.4872009268339198,0,0.0,1.0,2,7.0,0.0022540755461154163,3,33.0,0.04298308520326957,0,0.0,1.0,7,53.0
55.0,0,0.0,0.0,4.901039702579004,0,0.0,0.561184756568997,0,0.0,1.0,0,2.0,0.2377490412014162,0,0.0,0.2507383468864276,0,0.0,1.0,0,0.0,0.2816061874032969,0,0.0,0.0946162403704811,0,2.0,0.24028895473771014,0,0.0,1.0,0,10.0,0.27700517603791597,0,0.0,1.0,0,14.0
60.0,2,5.0,0.2631578947368421,5.565184828952382,0,0.0,0.8346924039681682,0,2.0,0.703394849306556,2,5.0,0.02205680898016874,0,0.0,0.4477425820674247,0,0.0,1.0,0,2.0,0.3003314193466238,0,0.0,0.32231004269978575,0,2.0,0.5967804505245801,0,2.0,0.4532479347886137,0,0.0,0.13721945347153694,0,0.0,1.0,2,13.0
65.0,5,18.0,0.9,4.555152624988247,1,4.0,0.24307068181739733,0,0.0,0.12663093570885586,1,10.0,0.187096216215391,0,0.0,0.2628841350595238,1,0.0,0.0,0,2.0,0.35864427901916685,0,0.0,1.0,1,3.0,0.004874518864919524,0,2.0,0.6008806635501075,1,5.0,0.19670402992354027,0,2.0,0.5624192318408463,5,28.0
70.0,7,36.0,2.1176470588235294,3.9497055599742623,1,7.0,0.0,0,0.0,0.47309273176778444,0,0.0,0.46279931630549825,2,7.0,0.21154498146309597,0,1.0,0.5849219848371074,1,5.0,0.05788750513561525,0,0.0,1.0,1,8.0,0.0,0,0.0,1.0,2,13.0,0.000423173983709718,0,2.0,0.6878477392770769,7,43.0
